ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.4661140442,113457.5616,12.95177644
5,5,25,12,0.4799999893,100000,-nan,0.5245890617,117957.888,13.46551233
6,6,36,18,0.5,100000,-nan,0.6657168865,105978.1632,12.09796384
7,7,49,24,0.4896999896,100000,-nan,0.9761219025,108607.4266,12.39810805
8,8,64,32,0.5,100000,-nan,1.446055889,102737.6333,11.72804033
9,9,81,40,0.4938000143,100000,-nan,2.136893034,104391.3523,11.91682104
10,10,100,50,0.5,100000,-nan,3.029769897,101004.3392,11.53017571
11,11,121,60,0.4957999885,100000,-nan,4.295275927,102184.4787,11.66489483
12,12,144,72,0.5,100000,-nan,5.923919916,99914.83392,11.40580296
13,13,169,84,0.4970000088,100000,-nan,8.053699017,100759.6442,11.50224248
14,14,196,98,0.5,100000,-nan,10.61824799,99190.96832,11.3231699
15,15,225,112,0.4977000058,100000,-nan,13.96601009,99851.4688,11.3985695
16,16,256,128,0.5,100000,-nan,17.87759113,98667.68384,11.26343423
17,17,289,144,0.4981999993,100000,-nan,22.69226718,99199.87712,11.32418689
18,18,324,162,0.5,100000,-nan,28.459759,98230.04672,11.21347565
19,19,361,180,0.4986000061,100000,-nan,35.27926683,98653.71648,11.26183978
20,20,400,200,0.5,100000,-nan,43.11427307,97938.944,11.18024475
22,22,484,242,0.5,100000,-nan,62.98212695,97684.43904,11.15119167
24,24,576,288,0.5,100000,-nan,89.25056696,97483.28448,11.12822882
26,26,676,338,0.5,100000,-nan,123.097167,97317.56032,11.10931054
28,28,768,-nan,-nan,-nan,-nan,-nan,-nan,-nan
30,30,900,450,0.5,100000,-nan,227.6312079,97041.26464,11.07776994
32,32,1024,512,0.5,100000,-nan,327.042412,96915.27168,11.06338718
35,35,1225,612,0.4995000064,100000,-nan,565.595047,96995.38944,11.07253304
37,37,1369,684,0.4995999932,100000,-nan,796.56498,96877.93664,11.05912519
38,38,1444,722,0.5,100000,-nan,939.8660541,96679.04512,11.03642068
40,40,1600,800,0.5,100000,-nan,1312.789202,96608.34816,11.02835025